assignment_id,worker_id,task_id,estimated_duration_x,actual_duration,quality_score,success_score,completed_on_time,years_experience,primary_skill,skill_level,reliability_score,avg_task_completion_rate,task_type,required_skill_level,estimated_duration_y,priority,complexity
A001,W005,T003,13,17.0,73.1,75.2,False,2,General Labor,3,0.8,1.15,Plumbing Installation,1,13,3,1
A002,W007,T010,23,24.2,100.0,97.0,True,13,Plumbing,5,0.65,1.14,Foundation Work,2,23,3,3
A003,W003,T009,17,18.9,64.1,79.5,False,5,Carpentry,2,0.7,1.08,Framing,3,17,2,3
A004,W008,T005,20,15.3,65.4,104.8,True,17,HVAC,2,0.84,0.8,Foundation Work,5,20,3,4
A005,W003,T005,20,23.8,64.1,76.1,False,5,Carpentry,2,0.7,1.08,Foundation Work,5,20,3,4
A006,W007,T008,4,4.4,100.0,94.6,True,13,Plumbing,5,0.65,1.14,Finishing,2,4,1,5
A007,W010,T009,17,14.3,100.0,111.2,True,17,Plumbing,5,0.68,0.95,Framing,3,17,2,3
A008,W001,T002,16,19.9,88.3,83.6,False,1,Carpentry,4,0.72,1.15,Framing,2,16,1,3
A009,W006,T010,23,18.8,100.0,113.4,True,9,General Labor,5,0.93,0.86,Foundation Work,2,23,3,3
A010,W002,T005,20,20.6,68.4,85.5,True,6,General Labor,2,0.63,0.99,Foundation Work,5,20,3,4
A011,W001,T010,23,26.8,85.6,85.8,False,1,Carpentry,4,0.72,1.15,Foundation Work,2,23,3,3
A012,W009,T007,6,6.2,100.0,98.5,True,9,Electrical,5,0.61,1.02,Finishing,2,6,1,3
A013,W003,T007,6,6.4,61.9,81.3,True,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A014,W010,T008,4,3.6,100.0,105.8,True,17,Plumbing,5,0.68,0.95,Finishing,2,4,1,5
A015,W006,T010,23,20.6,100.0,106.9,True,9,General Labor,5,0.93,0.86,Foundation Work,2,23,3,3
A016,W010,T002,16,15.5,100.0,102.0,True,17,Plumbing,5,0.68,0.95,Framing,2,16,1,3
A017,W010,T006,9,7.7,100.0,110.2,True,17,Plumbing,5,0.68,0.95,Plumbing Installation,4,9,1,4
A018,W005,T005,20,23.6,73.2,80.2,False,2,General Labor,3,0.8,1.15,Foundation Work,5,20,3,4
A019,W008,T004,13,10.0,65.5,103.8,True,17,HVAC,2,0.84,0.8,Electrical Installation,2,13,1,3
A020,W010,T009,17,15.6,100.0,105.3,True,17,Plumbing,5,0.68,0.95,Framing,3,17,2,3
A021,W003,T007,6,6.6,67.5,81.8,True,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A022,W010,T008,4,3.4,100.0,111.4,True,17,Plumbing,5,0.68,0.95,Finishing,2,4,1,5
A023,W002,T009,17,16.5,64.0,87.5,True,6,General Labor,2,0.63,0.99,Framing,3,17,2,3
A024,W006,T004,13,10.4,100.0,114.9,True,9,General Labor,5,0.93,0.86,Electrical Installation,2,13,1,3
A025,W006,T005,20,18.1,100.0,106.3,True,9,General Labor,5,0.93,0.86,Foundation Work,5,20,3,4
A026,W005,T004,13,15.1,75.0,81.8,False,2,General Labor,3,0.8,1.15,Electrical Installation,2,13,1,3
A027,W009,T006,9,8.7,100.0,102.0,True,9,Electrical,5,0.61,1.02,Plumbing Installation,4,9,1,4
A028,W003,T006,9,10.1,62.0,78.1,False,5,Carpentry,2,0.7,1.08,Plumbing Installation,4,9,1,4
A029,W010,T009,17,15.9,100.0,104.2,True,17,Plumbing,5,0.68,0.95,Framing,3,17,2,3
A030,W004,T008,4,4.0,91.3,96.8,True,14,HVAC,4,0.74,1.09,Finishing,2,4,1,5
A031,W003,T010,23,26.8,65.2,77.6,False,5,Carpentry,2,0.7,1.08,Foundation Work,2,23,3,3
A032,W008,T006,9,7.1,69.2,103.7,True,17,HVAC,2,0.84,0.8,Plumbing Installation,4,9,1,4
A033,W008,T001,20,15.3,67.6,105.5,True,17,HVAC,2,0.84,0.8,Foundation Work,4,20,1,5
A034,W004,T004,13,12.3,94.2,100.8,True,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A035,W010,T008,4,3.7,100.0,104.2,True,17,Plumbing,5,0.68,0.95,Finishing,2,4,1,5
A036,W007,T002,16,16.5,100.0,98.3,True,13,Plumbing,5,0.65,1.14,Framing,2,16,1,3
A037,W007,T001,20,23.5,100.0,91.1,False,13,Plumbing,5,0.65,1.14,Foundation Work,4,20,1,5
A038,W007,T006,9,9.2,100.0,98.7,True,13,Plumbing,5,0.65,1.14,Plumbing Installation,4,9,1,4
A039,W007,T004,13,13.3,100.0,98.7,True,13,Plumbing,5,0.65,1.14,Electrical Installation,2,13,1,3
A040,W001,T008,4,5.3,96.2,83.5,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A041,W001,T001,20,23.2,97.4,90.8,False,1,Carpentry,4,0.72,1.15,Foundation Work,4,20,1,5
A042,W003,T005,20,24.6,63.6,74.1,False,5,Carpentry,2,0.7,1.08,Foundation Work,5,20,3,4
A043,W002,T008,4,4.4,64.9,79.9,False,6,General Labor,2,0.63,0.99,Finishing,2,4,1,5
A044,W010,T003,13,10.4,100.0,114.9,True,17,Plumbing,5,0.68,0.95,Plumbing Installation,1,13,3,1
A045,W006,T002,16,12.8,100.0,115.0,True,9,General Labor,5,0.93,0.86,Framing,2,16,1,3
A046,W006,T009,17,15.4,100.0,106.4,True,9,General Labor,5,0.93,0.86,Framing,3,17,2,3
A047,W009,T007,6,6.8,100.0,93.0,False,9,Electrical,5,0.61,1.02,Finishing,2,6,1,3
A048,W006,T001,20,18.8,100.0,103.8,True,9,General Labor,5,0.93,0.86,Foundation Work,4,20,1,5
A049,W006,T010,23,18.3,100.0,115.5,True,9,General Labor,5,0.93,0.86,Foundation Work,2,23,3,3
A050,W002,T003,13,14.5,68.6,81.2,False,6,General Labor,2,0.63,0.99,Plumbing Installation,1,13,3,1
A051,W002,T002,16,17.5,69.7,82.8,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A052,W010,T004,13,11.9,100.0,105.6,True,17,Plumbing,5,0.68,0.95,Electrical Installation,2,13,1,3
A053,W006,T003,13,11.4,100.0,108.4,True,9,General Labor,5,0.93,0.86,Plumbing Installation,1,13,3,1
A054,W007,T001,20,21.9,100.0,94.7,True,13,Plumbing,5,0.65,1.14,Foundation Work,4,20,1,5
A055,W004,T007,6,5.7,87.0,97.9,True,14,HVAC,4,0.74,1.09,Finishing,2,6,1,3
A056,W008,T005,20,14.2,69.9,112.8,True,17,HVAC,2,0.84,0.8,Foundation Work,5,20,3,4
A057,W006,T001,20,17.8,100.0,107.3,True,9,General Labor,5,0.93,0.86,Foundation Work,4,20,1,5
A058,W009,T007,6,6.1,100.0,98.7,True,9,Electrical,5,0.61,1.02,Finishing,2,6,1,3
A059,W003,T007,6,6.7,60.9,77.9,False,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A060,W001,T006,9,10.9,90.5,85.6,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,4,9,1,4
A061,W006,T003,13,11.9,100.0,105.8,True,9,General Labor,5,0.93,0.86,Plumbing Installation,1,13,3,1
A062,W006,T008,4,3.4,100.0,109.7,True,9,General Labor,5,0.93,0.86,Finishing,2,4,1,5
A063,W004,T006,9,8.9,90.3,96.6,True,14,HVAC,4,0.74,1.09,Plumbing Installation,4,9,1,4
A064,W007,T010,23,26.4,100.0,92.2,False,13,Plumbing,5,0.65,1.14,Foundation Work,2,23,3,3
A065,W005,T008,4,4.6,79.7,84.6,False,2,General Labor,3,0.8,1.15,Finishing,2,4,1,5
A066,W002,T010,23,25.9,63.6,78.7,False,6,General Labor,2,0.63,0.99,Foundation Work,2,23,3,3
A067,W005,T009,17,20.3,77.9,81.4,False,2,General Labor,3,0.8,1.15,Framing,3,17,2,3
A068,W001,T008,4,5.2,84.3,79.5,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A069,W002,T005,20,19.6,66.1,87.8,True,6,General Labor,2,0.63,0.99,Foundation Work,5,20,3,4
A070,W001,T010,23,28.8,90.6,84.2,False,1,Carpentry,4,0.72,1.15,Foundation Work,2,23,3,3
A071,W004,T006,9,9.0,93.1,97.3,True,14,HVAC,4,0.74,1.09,Plumbing Installation,4,9,1,4
A072,W005,T008,4,5.4,78.7,76.3,False,2,General Labor,3,0.8,1.15,Finishing,2,4,1,5
A073,W002,T002,16,14.9,61.9,89.1,True,6,General Labor,2,0.63,0.99,Framing,2,16,1,3
A074,W003,T001,20,23.9,69.2,77.8,False,5,Carpentry,2,0.7,1.08,Foundation Work,4,20,1,5
A075,W004,T002,16,16.7,88.4,92.7,True,14,HVAC,4,0.74,1.09,Framing,2,16,1,3
A076,W008,T005,20,14.4,64.8,109.0,True,17,HVAC,2,0.84,0.8,Foundation Work,5,20,3,4
A077,W004,T010,23,24.8,83.6,89.1,True,14,HVAC,4,0.74,1.09,Foundation Work,2,23,3,3
A078,W007,T008,4,4.1,100.0,99.2,True,13,Plumbing,5,0.65,1.14,Finishing,2,4,1,5
A079,W008,T009,17,13.8,68.6,101.6,True,17,HVAC,2,0.84,0.8,Framing,3,17,2,3
A080,W005,T004,13,14.9,75.5,82.5,False,2,General Labor,3,0.8,1.15,Electrical Installation,2,13,1,3
A081,W004,T002,16,17.6,81.1,87.1,True,14,HVAC,4,0.74,1.09,Framing,2,16,1,3
A082,W006,T002,16,13.0,100.0,113.9,True,9,General Labor,5,0.93,0.86,Framing,2,16,1,3
A083,W002,T008,4,4.3,62.0,80.0,True,6,General Labor,2,0.63,0.99,Finishing,2,4,1,5
A084,W008,T008,4,3.1,64.2,103.9,True,17,HVAC,2,0.84,0.8,Finishing,2,4,1,5
A085,W007,T005,20,23.2,100.0,91.8,False,13,Plumbing,5,0.65,1.14,Foundation Work,5,20,3,4
A086,W004,T001,20,19.1,95.8,101.1,True,14,HVAC,4,0.74,1.09,Foundation Work,4,20,1,5
A087,W008,T004,13,9.0,60.7,111.1,True,17,HVAC,2,0.84,0.8,Electrical Installation,2,13,1,3
A088,W004,T004,13,14.8,89.0,88.3,False,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A089,W005,T006,9,11.7,73.0,75.3,False,2,General Labor,3,0.8,1.15,Plumbing Installation,4,9,1,4
A090,W004,T004,13,12.8,94.5,98.7,True,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A091,W002,T004,13,13.6,67.2,84.2,True,6,General Labor,2,0.63,0.99,Electrical Installation,2,13,1,3
A092,W004,T008,4,4.3,85.9,90.6,True,14,HVAC,4,0.74,1.09,Finishing,2,4,1,5
A093,W005,T003,13,17.1,73.3,75.0,False,2,General Labor,3,0.8,1.15,Plumbing Installation,1,13,3,1
A094,W006,T005,20,15.7,100.0,116.5,True,9,General Labor,5,0.93,0.86,Foundation Work,5,20,3,4
A095,W010,T007,6,5.4,100.0,107.1,True,17,Plumbing,5,0.68,0.95,Finishing,2,6,1,3
A096,W010,T004,13,11.1,100.0,110.4,True,17,Plumbing,5,0.68,0.95,Electrical Installation,2,13,1,3
A097,W007,T005,20,20.3,100.0,99.1,True,13,Plumbing,5,0.65,1.14,Foundation Work,5,20,3,4
A098,W004,T007,6,6.7,92.0,90.3,False,14,HVAC,4,0.74,1.09,Finishing,2,6,1,3
A099,W003,T007,6,7.1,69.1,78.3,False,5,Carpentry,2,0.7,1.08,Finishing,2,6,1,3
A100,W010,T005,20,16.9,100.0,110.9,True,17,Plumbing,5,0.68,0.95,Foundation Work,5,20,3,4
A101,W008,T003,13,9.0,66.6,112.9,True,17,HVAC,2,0.84,0.8,Plumbing Installation,1,13,3,1
A102,W002,T006,9,9.6,67.1,83.3,True,6,General Labor,2,0.63,0.99,Plumbing Installation,4,9,1,4
A103,W004,T004,13,13.7,94.3,94.8,True,14,HVAC,4,0.74,1.09,Electrical Installation,2,13,1,3
A104,W001,T007,6,7.5,81.3,80.4,False,1,Carpentry,4,0.72,1.15,Finishing,2,6,1,3
A105,W008,T009,17,13.5,69.3,103.1,True,17,HVAC,2,0.84,0.8,Framing,3,17,2,3
A106,W009,T004,13,12.1,100.0,104.7,True,9,Electrical,5,0.61,1.02,Electrical Installation,2,13,1,3
A107,W007,T005,20,22.7,100.0,92.8,False,13,Plumbing,5,0.65,1.14,Foundation Work,5,20,3,4
A108,W001,T006,9,10.3,95.8,90.8,False,1,Carpentry,4,0.72,1.15,Plumbing Installation,4,9,1,4
A109,W003,T008,4,4.3,65.8,82.1,True,5,Carpentry,2,0.7,1.08,Finishing,2,4,1,5
A110,W008,T008,4,3.1,62.3,103.5,True,17,HVAC,2,0.84,0.8,Finishing,2,4,1,5
A111,W010,T001,20,16.5,100.0,112.9,True,17,Plumbing,5,0.68,0.95,Foundation Work,4,20,1,5
A112,W008,T001,20,14.8,69.9,109.0,True,17,HVAC,2,0.84,0.8,Foundation Work,4,20,1,5
A113,W004,T009,17,19.2,99.1,92.7,False,14,HVAC,4,0.74,1.09,Framing,3,17,2,3
A114,W005,T009,17,20.5,75.0,79.7,False,2,General Labor,3,0.8,1.15,Framing,3,17,2,3
A115,W006,T003,13,12.1,100.0,104.5,True,9,General Labor,5,0.93,0.86,Plumbing Installation,1,13,3,1
A116,W004,T009,17,16.3,97.5,101.7,True,14,HVAC,4,0.74,1.09,Framing,3,17,2,3
A117,W004,T005,20,22.8,84.6,86.5,False,14,HVAC,4,0.74,1.09,Foundation Work,5,20,3,4
A118,W001,T008,4,5.0,87.5,83.5,False,1,Carpentry,4,0.72,1.15,Finishing,2,4,1,5
A119,W002,T006,9,9.8,65.8,81.2,True,6,General Labor,2,0.63,0.99,Plumbing Installation,4,9,1,4
A120,W001,T004,13,15.6,99.1,89.8,False,1,Carpentry,4,0.72,1.15,Electrical Installation,2,13,1,3
A121,W006,T001,20,18.4,100.0,105.2,True,9,General Labor,5,0.93,0.86,Foundation Work,4,20,1,5
A122,W008,T006,9,7.3,64.1,100.0,True,17,HVAC,2,0.84,0.8,Plumbing Installation,4,9,1,4
A123,W001,T002,16,19.0,81.9,83.3,False,1,Carpentry,4,0.72,1.15,Framing,2,16,1,3
